Question;Image;Choice_1;Choice_2;Choice_3;Choice_4;Block
"A que compoñente se corresponde o símbolo da figura?";"images/xeradorAC.png";"Xerador de corrente alterna";"Batería ou pila";"Lámpada";"Motor eléctrico";"electric_gal_circuitos"
"A que compoñente se corresponde o símbolo da figura?";"images/pulsadorSimbolo.png";"pulsador";"interruptor";"conmutador";"pila";"electric_gal_circuitos"
"A que compoñente se corresponde o símbolo da figura?";"images/interruptorSimbolo.png";"interruptor";"conmutador";"pulsador";"botón";"electric_gal_circuitos"
"A que compoñente se corresponde o símbolo da figura?";"images/conmutadorSimbolo.png";"conmutador";"interruptor";"pulsador";"fusible";"electric_gal_circuitos"
"A que compoñente se corresponde o símbolo da figura?";"images/resistenciaSimbolo.png";"resistencia";"pila";"lámpada";"interruptor";"electric_gal_circuitos"
"A que compoñente se corresponde o símbolo da figura?";"images/resistenciaSimbolo2.png";"resistencia";"lámpada";"pila";"interruptor";"electric_gal_circuitos"
"A que compoñente se corresponde o símbolo da figura?";"images/ledSimbolo.png";"LED";"lámpada";"Altofalante";"Motor";"electric_gal_circuitos"
"A que compoñente se corresponde o símbolo da figura?";"images/lampadaSimbolo.png";"Lámpada";"LED";"Motor";"Patrulla X";"electric_gal_circuitos"
"A que compoñente se corresponde o símbolo da figura?";"images/zoadorSimbolo.png";"zoador";"altofalante";"motor";"Xerador Alterna";"electric_gal_circuitos"
"A que compoñente se corresponde o símbolo da figura?";"images/altofalanteSimbolo.png";"altofalante";"zoador";"xerador alterna";"Xerador de continua";"electric_gal_circuitos"
"A que compoñente se corresponde o símbolo da figura?";"images/motorSimbolo.png";"motor";"zoador";"watiímetro";"lámpada";"electric_gal_circuitos"
"A que compoñente se corresponde o símbolo da figura?";"images/terraSimbolo.png";"terra";"pila";"antena";"receptor";"electric_gal_circuitos"
"Como están conectadas as resistencias da figura?";"images/3ResisSerie.png";"Serie";"Liña";"Paralelo";"Mixto";"electric_gal_circuitos"
"Como están conectadas as resistencias da figura?";"images/3ResisParalelo.png";"Paralelo";"lateral";"Serie";"mixto";"electric_gal_circuitos"
"Como están conectadas as resistencias da figura?";"images/3ResisMixto.png";"Mixto";"Paralelo";"Serie";"composto";"electric_gal_circuitos"
"Cal será a voltaxe total das tres pilas?";"images/3PilasSerie.png";"6V";"2V";"2/3V";"8V";"electric_gal_circuitos"
"Cal será a voltaxe total das tres pilas?";"images/3PilasParalelo.png";"2V";"6V";"2/3V";"8V";"electric_gal_circuitos"
"Cal será o valor da resistencia equivalente?";"images/3ResisSerie223.png";"7Ω";"12Ω";"6/8Ω";"8/6Ω";"electric_gal_circuitos"
"Cal será o valor da resistencia equivalente?";"images/3ResisParalelo666.png";"2Ω";"18Ω";"0,5Ω";"3/6Ω";"electric_gal_circuitos"
"Cal será o valor da resistencia equivalente?";"images/3ResisParalelo422.png";"4/5Ω";"5/4Ω";"3/8Ω";"8/3Ω";"electric_gal_circuitos"
"Cal será o valor da resistencia equivalente?";"images/2ResisParalelo36.png";"2Ω";"0,5Ω";"9Ω";"3Ω";"electric_gal_circuitos"
"Cal será o valor da resistencia equivalente?";"images/3ResisMixto422.png";"5Ω";"8Ω";"4Ω";"6Ω";"electric_gal_circuitos"
"Cal será o valor da resistencia equivalente?";"images/3ResisMixto436.png";"6Ω";"13Ω";"4,5Ω";"3Ω";"electric_gal_circuitos"
"Cal será o valor da resistencia equivalente?";"images/4ResisMixto4466.png";"5Ω";"20Ω";"1,2Ω";"10Ω";"electric_gal_circuitos"
"Que diferencias de funcionamento haberá entre o circuíto 1 e 2?";"images/2circSimples.png";"Ningunha";"No circuíto 2, o led acende aínda que non cerremos o interruptor";"Os dous leds acenden ao premer o interruptor, pero o 2 un chisco antes";"Os dous leds acenden ao premer o interruptor, pero o 1 un chisco antes";"electric_gal_circuitos"
"Cal é falsa, para o circuíto da figura?";"images/2receptoresSerie.png";"O led -a- acenderá un chisco antes que o -b-";"A intensidade que circula polos dous leds é a mesma";"Os dous leds acenderán ao premer o interruptor";"Se o led -b- se queima, o -a- deixará de funcionar";"electric_gal_circuitos"
"Cal é falsa, para o circuíto da figura?";"images/2resisSerie.png";"As dúas resistencias están sometidas á mesma voltaxe";"Se o interruptor pecha, pasará intensidade polas dúas resistencias";"Polas dúas resistencias pasará sempre a mesma intensidade";"Se desconecto a resistencia -b- non pasará corrente polo circuíto";"electric_gal_circuitos"
"Cal é falsa, para o circuíto da figura?";"images/2resisParalelo.png";"A intensidade que pasa polas dúas resistencias é a mesma";"As dúas resistencias están sometidas á mesma voltaxe";"Se desconecto a resistencia -a-, seguirá a pasar corrente pola -b-";"A intensidade total do circuíto será a suma da intensidade por -a- e a intensidade por -b-";"electric_gal_circuitos"
"Que será certo para a intensidade que pasa pola resistencia -a-?";"images/2resisParalelo.png";"Pasará o doble de intensidade que pola resistencia -b-";"Pasará a mesma intensidade que pola resitencia -b-";"Pasará a metade de intensidade que pola resistencia -b-";"Por ela pasará a metade da intensidade total do circuíto";"electric_gal_circuitos"
"Por cal resistencia pasará máis intensidade?";"images/3resisParalelo.png";"Pola -a-";"Pola -b-";"Pola -c-";"Por todas pasará a mesma";"electric_gal_circuitos"
"Que pasará neste circuíto se conecto a resistencia -c- ?";"images/3resisParaleloQue.png";"A intensidade total aumentará respecto a cando había dúas";"A voltaxe á que están sometidas ás resistencias disminuirá respecto a cando había dúas";"A voltaxe á que están sometidas ás resistencias aumentará respecto a cando había dúas";"A intensidade total disminuirá respecto a cando había dúas";"electric_gal_circuitos"
"Cal é falsa, para o circuíto da figura?";"images/2IntSerie.png";"Se cerramos un ou outro interruptor, pasará corrente pola resistencia";"Se cerramos un e outro interruptor, pasará corrente pola resistencia";"Se cerramos os dous interruptores, pasará corrente pola resistencia";"Só pasará corrente pola resistencia se cerramos todos os interruptores";"electric_gal_circuitos"
"Para que poderías empregar o circuíto da figura?";"images/2IntSerieMotor.png";"Unha motoserra que actúa só cando premo dous interruptores";"Un ventilador que se acende desde dous puntos distintos";"Unha alarma que se acende desde calquera dos dous interruptores";"Un taladro que pode ser accionado cun interruptor ou con outro";"electric_gal_circuitos"
"Cal é falsa, para o circuíto da figura?";"images/2IntParalelo.png";"A corrente pasará cando cerremos os dous interruptores";"Se cerramos un ou outro interruptor, pasará corrente pola resistencia";"Para que pase a corrente, podemos cerrar calquera dos dous interruptores";"A corrente pasa sempre que haxa polo menos un interruptor cerrado";"electric_gal_circuitos"
"Cal é falsa, para o circuíto da figura?";"images/ledCurtocircuito.png";"O led -a- acenderá";"O led -a- está curtocircuitado";"A intensidade non pasará polo led -a- porque ten un camiño alternativo sen resistencia";"O led -b- acenderá";"electric_gal_circuitos"
"Cal é certa para o circuíto da figura?";"images/2IntSerieTricky.png";"Só pasará corrente pola resistencia con 1 e 2 cerrados";"Se cerro o interruptor 1 pasará corrente pola resistencia";"Se cerro o interruptor 2 pasará corrente pola resistencia";"Se cerro calquera dos dous interruptores, pasará corrente";"electric_gal_circuitos"
"Cando pasará corrente pola resistencia?";"images/2IntMixtoTricky.png";"Só se 2 está cerrado e 1 abert";"Se cerramos 1 e 2";"Cerrando o 2, independentemente de como estea 1";"Cerrando o 2 ou o 1";"electric_gal_circuitos"
"Como están conectadas as resistencias na breadboard?";"images/brboardSerieParalelo01.png";"1 en paralelo, 2 en serie";"As dúas en serie";"As dúas en paralelo";"1 en serie, 2 en paralelo";"electric_gal_circuitos"
"Como están conectadas as resistencias na breadboard?";"images/brboardSerieParalelo02.png";"As dúas en serie";"1 en serie, 2 en paralelo";"1 en paralelo, 2 en serie";"As dúas en paralelo";"electric_gal_circuitos"
"Por que resistencias pasará corrente?";"images/brboardBenConectadas01.png";"Por 1 e 2";"Por todas";"Por 2 e 3";"Por ningunha";"electric_gal_circuitos"
"Que montaxes se corresponden co esquema?";"images/brboardResisCircuito.png";"1";"2";"3";"ningún";"electric_gal_circuitos"
"Cal é falsa para o circuíto da figura?";"images/2Int3leds.png";"Podo acender -c- sen acender -a- e -b-";"Co interruptor 1 aberto, non acenderá nada";"O interruptor 1 acende -a- e -b-";"Cos dous interruptores premidos, acenden todos os leds";"electric_gal_circuitos"
"Cando acenderá o led verde?";"images/brBoard2PulsXeralSecundario.png";"Se teño premidos os dous pulsadores";"Se premo o pulsador da dereita";"Se premo o pulsador da esquerda";"En ningún caso";"electric_gal_circuitos"
"Cal é falsa para o circuíto da figura?";"images/brBoard2PulsXeralSecundario.png";"Podo acender o led verde sen que acenda o led vermello";"Para acender o led verde teño que ter premido o pulsador da esquerda";"Para acender o led verde teño que ter premido o pulsador da dereita";"O led vermello acende cando premo o pulsador da dereita";"electric_gal_circuitos"
"A que esquema se corresponde o circuíto da breadboard?";"images/brBoard2PulsXeralSecEsquemas.png";"Ao rosa";"Ao azul";"Ao verde";"Ao laranxa";"electric_gal_circuitos"
"Cal será certa, para o circuíto da figura?";"images/2IntResisLedCorto.png";"O led acenderá se unicamente está pechado  -a-";"O led non acenderá cando  -b- estea aberto";"O led acenderá cando prema os dous interruptores";"O led acenderá ao premer -a-, estea como estea -b-";"electric_gal_circuitos"
"Que leds acenderán?";"images/6ledAcenden.png";"O 2,3,4 e 6";"O 1 e o 5";"Ningún";"O 3 e o 4";"electric_gal_circuitos"
"Que leds acenderán?";"images/2CircLedAcenden.png";"O 1 e o 3";"O 1, 3, 4 e 6";"Ningún";"Todos";"electric_gal_circuitos"
"Que leds acenderán?";"images/3LedsCortoAcenden.png";"Ningún";"O 3";"O 2 e o 3";"Todos";"electric_gal_circuitos"
"Que leds acenderán?";"images/4LedsCortoAcenden.png";"O 4";"Todos";"O 1, 3 e 4";"Ningún";"electric_gal_circuitos"
"Quero que o led acenda cando premo o pulsador. Hai algún fallo?";"images/brbrUnLedPulsadorTricky.png";"Os cables non están nos terminais correctos do pulsador";"O led está posto do revés";"A resistencia non está conectada ao led";"Non hai fallos, vai acender";"electric_gal_circuitos"
"Quero que o led acenda só cando premo os dous pulsadores. Hai algún fallo?";"images/brbr2pulsadoresSerieTricky.png";"Ningún";"O led acenderá cando prema calquera dos interruptores";"O cable verde non conecta os terminais correctos dos interruptores";"A resistencia non está conectada no terminal correcto do pulsador";"electric_gal_circuitos"
"Que cable teño que quitar para que o led acenda desde calquera dos dous pulsadores?";"images/2pulsParaleloQuitaCable.png";"O laranxa";"O verde";"O azul";"O amarelo";"electric_gal_circuitos"
"Por que circuíto circulará máis corrente?";"images/leiOhmSameVolt.png";"Polo 1";"Polo 2";"Polo 3";"Polo 4";"electric_gal_circuitos"
"Por que circuíto circulará máis corrente?";"images/leiOhmSameRes.png";"Polo 2";"Polo 1";"Polo 3";"Polo 4";"electric_gal_circuitos"
"Por que circuíto circulará máis corrente?";"images/leiOhmSameVoltDecimalOhm.png";"Polo 3";"Polo 2";"Polo 1";"Polo 4";"electric_gal_circuitos"
"Por que circuíto circulará máis corrente?";"images/leiOhmSameVoltKohm.png";"Polo 2";"Polo 1";"Polo 3";"Polo 4";"electric_gal_circuitos"
"Por que circuíto circulará máis corrente?";"images/leiOhmDifVoltDifRes.png";"Polo 4";"Polo 1";"Polo 2";"Polo 3";"electric_gal_circuitos"
"Partimos do circuíto negro. Que pasará cando conectemos a resistencia en verde?";"images/2ResisParaleloTricky44.png";"A intensidade total do circuíto aumentará";"A voltaxe á que está sometida -a- disminuirá";"A intensidade total do circuíto disminuirá";"A intensidade total do circuíto non variará";"electric_gal_circuitos"
"Partimos do circuíto negro. Que pasará cando conectemos a resistencia en verde?";"images/2ResisParaleloTricky44.png";"Por -b- pasará a mesma intensidade que por -a-";"A voltaxe de -a- será a metade que antes";"A resistencia equivalente no circuíto será de 4Ω";"A intensidade total do circuíto non variará";"electric_gal_circuitos"
"Partimos do circuíto negro. Se conectamos a parte en verde, cal será falsa?";"images/2ResisParaleloTricky44.png";"A intensidade total disminuirá";"Por -b- pasará unha itensidade igual á que pasa por -a-";"A voltaxe de -b- será a mesma que a de -a-";"A intensidade que pasa por -a- non variará";"electric_gal_circuitos"
"Cal é falsa para o circuíto da figura?";"images/brBr2IntParalelo.png";"O led non acenderá nunca";"O led acenderá cando prema o interruptor esquerdo";"O led acenderá se premo o pulsador dereito";"Se teño premidos os dous interruptores, o led acenderá";"electric_gal_circuitos"
"Cales leds acenderán cando prema o pulsador?";"images/brBr3Led1intCalAcende.png";"O verde e o vermello";"O azul e o vermello";"O vermello";"O azul e o verde";"electric_gal_circuitos"
"Cal é certa para o circuíto da figura?";"images/brBr2int2LedParalelo.png";"Cada o interruptor acende un led";"Non poderei acender o led verde se non premo o interruptor da dereita";"Se premo o pulsador da dereita, acenden os dous leds";"O verde está sempre aceso, aínda que non prema ningún pulsador";"electric_gal_circuitos"
"Cando acenderá o led -b-?";"images/3ledParal3IntAcenden.png";"Sempre que estea pechado o interruptor 1";"Con 1 pechado, 2 aberto e 3 aberto";"Con 1 pechado, 2 aberto e 3 pechado";"Con 1 pechado, 2 pechado e 3 aberto";"electric_gal_circuitos"
"Podo acender só o led -a-?";"images/3ledParal4IntAcenden.png";"Non";"Si,premendo 1 e 2";"Si, premendo 1, 2 e 3";"Si, premendo 1 e 3";"electric_gal_circuitos"
