Question;Image;Choice_1;Choice_2;Choice_3;Choice_4;Block
"¿Cuál es verdadera para el circuito de la figura?";"images/2IntSerieTricky.png";"Solo pasará corriente por la resistencia con 1 y 2 cerrados";"Si cierro el interruptor 1 pasará corriente por la resistencia";"Se cierro el interruptor 2 pasará corriente por la resistencia";"Si cierro cualquiera de los dos interruptores, pasará corriente";"electric_es_circuitos"
"¿Cuándo pasará corriente por la resistencia?";"images/2IntMixtoTricky.png";"Solo si 2 está cerrado y 1 abierto";"Si cerramos 1 y 2";"Cerrando el 2, independientemente de cómo esté 1";"Cerrando el 2 o el 1";"electric_es_circuitos"
"¿Cuál es falsa para el circuito de la figura?";"images/2Int3leds.png";"Puedo encender - c- sin encender 'a' y 'b'";"Con el interruptor 1 abierto, no encenderá nada";"El interruptor 1 enciende 'a' y - b-";"Con los dos interruptores presionados, encienden todos los ledes";"electric_es_circuitos"
"Para el circuito de la figura ¿Qué será cierto?";"images/2IntResisLedCorto.png";"El led encenderá si únicamente está cerrado 'a'";"El led no encenderá cuando 'b' esté abierto";"El led encenderá cuando presione los dos interruptores";"El led encenderá al presionar 'a', esté como esté - b-";"electric_es_circuitos"
"¿Qué ledes se encenderán?";"images/6ledAcenden.png";"El 2, 3, 4 y 6";"El 1 y el 5";"Ninguno";"El 3 y el 4";"electric_es_circuitos"
"¿Qué ledes se encenderán?";"images/2CircLedAcenden.png";"El 1 y el 3";"El 1, 3, 4 y 6";"Ninguno";"Todos";"electric_es_circuitos"
"¿Qué ledes se encenderán?";"images/3LedsCortoAcenden.png";"Ninguno";"El 3";"El 2 y el 3";"Todos";"electric_es_circuitos"
"¿Qué ledes se encenderán?";"images/4LedsCortoAcenden.png";"El 4";"Todos";"El 1, 3 y 4";"Ninguno";"electric_es_circuitos"
"¿Cuándo encenderá el led 'b'?";"images/3ledParal3IntAcenden.png";"Siempre que esté cerrado el interruptor 1";"Con 1 cerrado, 2 abierto y 3 abierto";"Con 1 cerrado, 2 abierto y 3 cerrado";"Con 1 cerrado, 2 cerrado y 3 abierto";"electric_es_circuitos"
"¿Puedo encender solo el led 'a'?";"images/3ledParal4IntAcenden.png";"False";"Sí, presionando 1 y 2";"Sí, presionando 1, 2 y 3";"Sí, presionando 1 y 3";"electric_es_circuitos"
