Question;Image;Choice_1;Choice_2;Choice_3;Choice_4;Block
"How is the following circuit connected?";"images/electric-serie-paralelo-c15.png";"Short circuit in the light bulb";"In parallel";"In series";"Short circuit in the battery";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c16.png";"In series";"In parallel";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c17.png";"Short circuit in the battery";"In parallel";"In series";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c18.png";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c19.png";"In series";"In parallel";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c20.png";"Short circuit in the light bulb";"In parallel";"In series";"Short circuit in the battery";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c21.png";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c22.png";"Short circuit in the battery";"In parallel";"In series";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c23.png";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c24.png";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c25.png";"Short circuit in the battery";"In parallel";"In series";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c26.png";"Short circuit in the battery";"In parallel";"In series";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c27.png";"Short circuit in the light bulb";"In parallel";"In series";"Short circuit in the battery";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c28.png";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c29.png";"Short circuit in the battery";"In parallel";"In series";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c30.png";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c31.png";"In series";"In parallel";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c32.png";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c33.png";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c34.png";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c35.png";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c36.png";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c37.png";"Short circuit in the battery";"In parallel";"In series";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c38.png";"Short circuit in the battery";"In parallel";"In series";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c39.png";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c40.png";"Short circuit in the battery";"In parallel";"In series";"Short circuit in the light bulb";"electric_en_series_parallel"
